,MAD,cox_pval_adj,elasticnet_coef
hsa-miR-550a-5p,0.3923811434617405,9.218929871638674e-05,0.005462593807700391
hsa-miR-5586-5p,0.20615763791433928,0.01149399269689515,0.0
hsa-miR-5683,0.22407153271006963,8.689077229932009e-07,-0.00034492160830674004
hsa-miR-574-3p,0.5180288597976891,0.05452234162515972,
hsa-miR-576-5p,0.6262407544421257,1.0,
hsa-miR-582-3p,0.5761903546976584,0.6539457456929194,
hsa-miR-582-5p,0.4870891357855833,0.0029824738619386127,0.08482047147168813
hsa-miR-584-5p,0.6648083630996887,2.4996207685879396e-07,0.11907408517152897
hsa-miR-589-3p,0.26073107039243487,0.16250422030707928,
hsa-miR-589-5p,0.6043983519606451,0.004518250329770799,0.0
hsa-miR-590-3p,0.4053841773088619,0.6771806731501071,
hsa-miR-590-5p,0.48841770467721035,1.0,
hsa-miR-592,0.2163801363664523,0.0015649768476797294,-0.03566329300542012
hsa-miR-598-3p,0.661071086620245,3.9434999528149077e-10,0.0
hsa-miR-6087,0.27674732758921805,2.7423444732335154e-06,0.04409091111015406
hsa-miR-616-5p,0.19646014088368985,0.9483001021540945,
hsa-miR-624-5p,0.16992878954115434,0.04296945931188614,-0.019283850131826534
hsa-miR-625-3p,0.6076315885816475,1.0,
hsa-miR-625-5p,0.29258084018007297,1.0,
hsa-miR-627-5p,0.17869054965743564,0.058534006834441245,
hsa-miR-628-3p,0.16068067331107255,1.0,
hsa-miR-628-5p,0.63616647881955,1.08e-298,-0.018981877828980698
hsa-miR-629-3p,0.4062079057293332,0.20566502484967247,
hsa-miR-629-5p,0.4758269584636398,0.009898192543468938,-0.031469639080111154
hsa-miR-642a-5p,0.20862797296950902,0.5908162686999563,
hsa-miR-6509-5p,0.2030740956552904,8.665612263579543e-06,0.01675712455016608
hsa-miR-651-5p,0.2258424218823261,0.14850001792592293,
hsa-miR-6511b-3p,0.3039998612443383,9.63000942706274e-06,0.0
hsa-miR-652-3p,0.6154457041717036,0.016831311007825957,0.0
hsa-miR-653-5p,0.3094888419928921,0.0003863088709385565,0.0553433452409475
hsa-miR-654-3p,0.3030890707554056,0.0001732701042435238,0.0
hsa-miR-659-5p,0.1961443756644904,2.280340208425086e-08,0.0
hsa-miR-660-5p,0.6366048724526396,1.517351744216517e-05,-0.0039044029513130695
hsa-miR-664a-3p,0.6957971423934228,1.44e-298,0.06034981187074275
