,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
TCGA-22-5472-01,0.23652967855961965,-4.602857268000381,4.41128879078762,0.6769373242662029,-2.1576506751673707,0.3727715213432887,0.6276365778350295,-0.57117079477811,-0.5347151322263004,0.3696287811915177,0.581245691735243,0.885764929310514,-0.2732104116724691,-1.3975966488571678,1.2231076773941996
TCGA-22-5473-01,5.524408839364823,-7.682321573417928,0.10194224508479961,3.492038928519646,1.173438644585904,-0.48038889817540587,0.9913769379262244,-0.9767401646384222,0.7245617224581431,0.10019408693791114,-1.2227369735329296,3.7440419941361838,0.40997982799306754,-0.0791317738666019,0.9009181499359369
TCGA-22-5474-01,3.276797051755585,-0.6604386176216686,1.2923920809279967,0.27653025082225546,-1.1100103366280856,0.5856671881959088,-0.8236156673269462,0.08978646888465913,0.1908249629319361,-1.6510072234355841,0.7972910371400738,0.12287594768114733,-0.04935874994588321,-2.2057696911682947,0.18886720435575685
TCGA-22-5477-01,-3.5325673699956894,-5.450626519310849,3.5021860791869632,0.2550138743593671,0.03394998615968417,-5.0629662250786085,0.6061751558554175,-2.9825998427616174,-1.0436856419463802,-0.9325449075393389,0.8293496249998596,-0.47202768756837055,-1.327424557623209,-0.08779671979626051,1.56827600481863
TCGA-22-5479-01,4.777986925706431,-6.146806401644822,0.5093710896403943,1.0973721595015893,-1.4154252426703389,3.733460008768702,0.21223234254027248,1.6272208445673866,0.9312006284440326,-0.7448641661453222,-0.35888321572078946,1.6899003443461227,0.5515430691842961,-0.3479022359990009,0.6040553838134475
TCGA-22-5480-01,7.509485354480143,-0.5342639909502184,2.363495048905994,-1.6525544198708784,-0.44919410038888063,-1.7136764020338524,-1.0272289273684463,-1.0121354641991214,0.6073760906095453,-0.969261601622672,-0.3791229776218528,0.05424645769346188,1.2164755146123902,-0.3588980503807821,-0.13920683790523714
TCGA-22-5481-01,4.331513568114092,-3.89706104436822,-0.6359719774054335,-1.1983613789629064,-0.1716028761238635,-1.5388234065304667,1.7517382586142245,-2.164265639482911,0.6691439122219465,0.1620090829249547,0.9885689969872767,1.173355515093053,0.22484025243386951,1.8117116368801716,0.0341257470354457
TCGA-22-5482-01,0.09745149458050949,-4.919259561272388,1.0503707710163037,-1.0280991301144176,-2.155184630126343,2.7263972659073703,0.7677212576998068,0.8359975746609488,1.1023772553390387,-1.5092979822501449,0.6496052895988691,-1.0566789034834765,0.19116919641151203,-3.032064326173527,1.8671619565952842
TCGA-22-5483-01,3.6385312699651466,-1.58876685541425,2.3643366594633934,0.9430776967321937,1.938430564098112,-0.8163326389998801,-0.6536827905948304,-0.7979320519217107,0.167993323207243,0.008566178646505248,-0.4329264672515956,-1.1234824945952366,0.04055591328489161,0.7048400642976235,-0.30857170882361
TCGA-22-5485-01,-3.293331584030764,-6.517567255425939,1.718815798523837,-0.5585063420879615,0.49448159664213936,-2.424209168070991,-0.24790042543659405,-1.8023939315118611,-0.14525295845896882,-1.582561598213785,0.48924197571474215,0.24944023488496725,1.4902436058524007,-3.931578369487966,-3.7747871041039542
TCGA-22-5489-01,3.8305526499705174,-3.027397052731194,1.2378610057392019,-0.8729894787361794,-2.2137218597114745,3.062450228152814,-2.228606677809182,1.403655807041258,0.8715405938291773,-2.0238234542498383,0.13690375978103794,1.7633973141781702,0.7364715442226493,-0.4371910511622203,0.5555637352305819
TCGA-22-5491-01,0.8266192705444945,-6.329261320806129,-0.31116500306598904,1.2494635483291556,0.12317518838225451,-1.6617171741685504,1.2775252543483429,-1.5958537150955774,-0.011791500078856937,-1.3094785718230892,-0.011423004224060758,0.8465294261706141,-0.05640533358761132,-0.9761527796262117,1.6997070820935987
TCGA-22-5492-01,0.24500906558074273,-4.334265334410691,3.9172071170406735,0.5741749129232379,-0.7276109987360656,-2.0872090585521197,-0.73146976220001,-1.4642103445110126,-0.2167505275802379,-1.3688392121543547,0.2520583995294198,0.39757631908191277,0.06291840301245238,0.00393471977147405,1.3766692248539043
TCGA-22-A5C4-01,4.561372690599712,-4.89112411186001,3.574665879380262,-1.783350050788152,-0.27568474683289335,-1.9409484077853212,0.7310728543310542,-0.4374484645819418,-0.8345376633864159,1.5860087586823148,-0.9429051832187467,-0.06515895718504114,0.3386083417609694,-0.18969743323652988,0.4871639186662947
TCGA-23-1110-01,-0.8523364527177415,-1.809287279095783,0.02173075441733479,-5.393259599894926,-0.11018661017180484,3.10220049309898,4.660675009854799,-1.7388083786515092,3.9029390739574725,-1.813430390136999,1.4067095730759867,-0.14847867568236386,-1.0025139869580388,-0.5473316259509379,-0.5330234935538722
TCGA-24-1431-01,3.0990019452784523,-0.20227050948059325,-5.030088494406567,-2.9787190843263534,3.939129747450501,-0.4580052788784438,2.73101782909942,-3.4798329894217246,3.1078352178956146,-3.8108296937212836,-1.1849113136544787,0.43750631406840046,0.3478912889449759,-0.0638131296821405,0.3023415525964773
